date,value,close,position,returns,cummax,drawdown
2022-03-29,118760.27742154838,1443.9857699999998,-79,-0.004107334859570488,125430.4732187955,-0.05317843125419697
2022-03-30,113775.37742154839,1507.0857699999997,-79,-0.04197447251075137,125430.4732187955,-0.09292076716410425
2022-03-31,114652.27742154838,1495.9857699999998,-79,0.007707291506060976,125430.4732187955,-0.0859296430975437
2022-04-01,109832.48742154837,1556.9957699999998,-79,-0.04203832761453852,125430.4732187955,-0.12435563222374735
2022-04-06,111955.95521955249,1541.9857699999998,0,0.019333694864380302,125430.4732187955,-0.10742619120744801
2022-04-07,111955.95521955249,1541.98577,0,0.0,125430.4732187955,-0.10742619120744801
2022-04-08,111955.95521955249,1560.9857699999998,0,0.0,125430.4732187955,-0.10742619120744801
2022-04-11,111955.95521955249,1496.9857699999998,0,0.0,125430.4732187955,-0.10742619120744801
2022-04-12,111955.95521955249,1558.9857699999998,0,0.0,125430.4732187955,-0.10742619120744801
2022-04-13,111955.95521955249,1545.9857699999998,0,0.0,125430.4732187955,-0.10742619120744801
2022-04-14,112370.95521955247,1585.9857699999998,20,0.0037068148736361106,125430.4732187955,-0.10411758533719762
2022-04-15,112377.76521955247,1582.9757699999998,39,6.060284872266841e-05,125430.4732187955,-0.10406329231074851
2022-04-18,111786.13521955248,1567.8057699999997,39,-0.0052646535446235765,125430.4732187955,-0.10878008867464306
2022-04-19,111765.85521955248,1567.2857699999997,39,-0.00018141784721481535,125430.4732187955,-0.10894177187235066
2022-04-20,111928.35521955248,1573.9857699999998,59,0.001453932416844106,125430.4732187955,-0.10764623342918034
2022-04-21,110924.17521955248,1556.9657699999998,59,-0.008971631880324349,125430.4732187955,-0.1156521029298746
2022-04-22,110512.35521955248,1549.9857699999998,59,-0.0037126262078115424,125430.4732187955,-0.11893535610936024
2022-04-25,106677.35521955248,1484.9857699999998,59,-0.03470200225468989,125430.4732187955,-0.14951006336818073
2022-04-26,106394.36650051374,1509.4657699999998,0,-0.0026527534213452997,125430.4732187955,-0.15176620345740055
2022-04-27,106394.36650051374,1571.9057699999998,0,0.0,125430.4732187955,-0.15176620345740055
2022-04-28,106394.36650051374,1611.9857699999998,0,0.0,125430.4732187955,-0.15176620345740055
2022-04-29,106244.58650051376,1605.3657699999999,19,-0.0014077813039026221,125430.4732187955,-0.1529603311375115
2022-05-05,106408.36650051374,1613.9857699999998,19,0.0015415373657574616,125430.4732187955,-0.15165458783768127
2022-05-06,105127.56650051376,1569.9857699999998,39,-0.012036647512992382,125430.4732187955,-0.1618658225331433
2022-05-09,103528.56650051376,1528.9857699999998,39,-0.015210092397527242,125430.4732187955,-0.17461392081393967
2022-05-10,104081.97650051376,1543.1757699999998,39,0.005345481143093522,125430.4732187955,-0.1702018350918787
2022-05-11,103640.4640687082,1544.9857699999998,0,-0.004241968174032329,125430.4732187955,-0.17372181249828933
2022-05-12,103640.4640687082,1539.6557699999998,0,0.0,125430.4732187955,-0.17372181249828933
2022-05-13,103640.4640687082,1555.2257699999998,0,0.0,125430.4732187955,-0.17372181249828933
2022-05-16,103640.4640687082,1534.9857699999998,0,0.0,125430.4732187955,-0.17372181249828933
2022-05-17,103640.4640687082,1544.9857699999998,0,0.0,125430.4732187955,-0.17372181249828933
2022-05-18,103640.4640687082,1537.9857699999998,0,0.0,125430.4732187955,-0.17372181249828933
